Code,"ID (NYT, cartogram)",Show it?,Tag it?,Official name,Lowercase name,Parents,Popularity,tag0,tag1,tag2,tag3,tag4,tag5,tag6,Part of,Code,Comment,Search string
ISR,103,1,1,Israel,Israel,4,0.01912,news,world,asia,middle_east,,,,,Er,,Israel
JOR,108,1,1,Jordan,Jordan,4,0.01492,news,world,asia,middle_east,,,,,Es,,"Jordan AND (Amman OR Israel or ""middle east"" or palest* or arab)"
KWT,113,1,1,Kuwait,Kuwait,4,0.00212,news,world,asia,middle_east,,,,,Et,,Kuwait
LBN,117,1,1,Lebanon,Lebanon,4,0.00327,news,world,asia,middle_east,,,,,Eu,,Lebanon
PSE,163,1,1,Palestine,Palestine,4,0.00150,news,world,asia,middle_east,,,,,Ev,,Palestine
QAT,173,1,1,Qatar,Qatar,4,0.00248,news,world,asia,middle_east,,,,,Ew,,Qatar
OMN,160,1,1,Oman,Oman,4,0.00097,news,world,asia,middle_east,,,,,Ex,,Oman
SAU,183,1,1,Saudi Arabia,Saudi Arabia,4,0.01522,news,world,asia,middle_east,,,,,Ey,,"""saudi arabia"""
SYR,209,1,1,Syria,Syria,4,0.00883,news,world,asia,middle_east,,,,,Ez,,Syria
TUR,220,1,1,Turkey,Turkey,4,0.00886,news,world,asia,middle_east,europe,,,,Fa,,Turkey
ARE,226,1,1,United Arab Emirates,United Arab Emirates,4,0.00324,news,world,asia,middle_east,,,,,Fb,,"""United Arab Emirates"""
YEM,237,1,1,Yemen,Yemen,4,0.00451,news,world,asia,middle_east,,,,,Fc,,Yemen
caucasus,,1,0,Caucasus,Caucasus,3,0.04149,news,world,asia,,,,,,Fd,,
ARM,11,1,1,Armenia,Armenia,4,0.00091,news,world,asia,caucasus,,,,,Fe,,Armenia
AZE,16,1,1,Azerbaijan,Azerbaijan,4,0.00048,news,world,asia,caucasus,,,,,Ff,,Azerbaijan
GEO,78,1,1,Georgia,Georgia,4,0.04039,news,world,asia,caucasus,,,,,Fg,,Georgia AND (republic OR russia OR soviet OR tblisi)
central_asia,,1,0,Central Asia,Central Asia,3,0.00291,news,world,asia,,,,,,Fh,,
KAZ,109,1,1,Kazakhstan,Kazakhstan,4,0.00153,news,world,asia,central_asia,,,,,Fi,,Kazakhstan
KGZ,114,1,1,Kyrgyzstan,Kyrgyzstan,4,0.00042,news,world,asia,central_asia,,,,,Fj,,Kyrgyzstan
TJK,212,1,1,Tajikistan,Tajikistan,4,0.00062,news,world,asia,central_asia,,,,,Fk,,Tajikistan
